,position,r2,rmse
0,"(1, 1)",0.47551042806300947,0.17360048644260861
1,"(1, 2)",-0.17496275048581267,0.259833149838823
2,"(1, 3)",0.3937217517808834,0.18664592065403787
3,"(1, 4)",0.5200799890813843,0.1660607282846083
4,"(1, 5)",-0.19536275044292184,0.262079087533891
5,"(1, 6)",0.5543070386386635,0.1600296283374868
6,"(1, 7)",0.5654206551318239,0.15802181631089085
7,"(1, 8)",0.5346591093057609,0.16351896035413024
8,"(1, 9)",-0.6194634182911722,0.3050479283793689
9,"(1, 10)",0.4832626148732173,0.1723127646416533
10,"(1, 11)",0.5010720491013944,0.1693173357657072
11,"(1, 12)",0.012301863336366403,0.2382289990926706
12,"(1, 13)",0.45093542138596565,0.17762096388956503
13,"(1, 14)",-0.7087936878111298,0.31334828666684506
14,"(1, 15)",-0.31025713568041247,0.2743852589288959
15,"(1, 16)",-0.025203557106915353,0.24270993896093526
16,"(2, 1)",-0.16413763445936524,0.25863343838971625
17,"(2, 2)",-0.18593972036761364,0.26104406058639945
18,"(2, 3)",-0.2769235548656206,0.2708725261584235
19,"(2, 4)",0.5832880352583301,0.15473925227896335
20,"(2, 5)",0.2501722567667627,0.20756936722381517
21,"(2, 6)",-0.028405947682039523,0.24308871544556349
22,"(2, 7)",-0.12200020650922383,0.2539095157932202
23,"(2, 8)",0.5497570085238217,0.160844416479571
24,"(2, 9)",0.5583057647649357,0.15931012353941845
25,"(2, 10)",-0.13364419313189435,0.2552236367408985
26,"(2, 11)",0.4416580270791729,0.17911528451976877
27,"(2, 12)",0.4763416407774209,0.17346287060048315
28,"(2, 13)",-0.16927197988165354,0.2592031530112658
29,"(2, 14)",0.42958337376425904,0.18104169067710157
30,"(2, 15)",0.5320123755123025,0.16398332691946207
31,"(2, 16)",0.46891840983246014,0.174688024013924
32,"(3, 1)",-0.31056421693591396,0.27441741049335855
33,"(3, 2)",0.523104142937429,0.16553669635309642
34,"(3, 3)",-0.25636924781083903,0.26868359939994685
35,"(3, 4)",0.4984976627116906,0.1697535985687435
36,"(3, 5)",0.46471893329357017,0.1753773284100494
37,"(3, 6)",-0.3637892108973857,0.2799343120838475
38,"(3, 7)",0.33496027099623105,0.1954817886331762
39,"(3, 8)",0.5314436302545771,0.16408294111405167
40,"(3, 9)",0.5658063696002484,0.15795167396282492
41,"(3, 10)",0.3610821192040248,0.19160420239787154
42,"(3, 11)",0.5048746007519967,0.16867088034632452
43,"(3, 12)",0.388728424268591,0.18741295551975026
44,"(3, 13)",0.5265949832447849,0.16492972574517656
45,"(3, 14)",0.3757614055650049,0.18939033701643906
46,"(3, 15)",0.5359892975694299,0.163285081633187
47,"(3, 16)",0.5255815379799951,0.1651061686258651
48,"(4, 1)",-0.056123775611491844,0.24634282566162127
49,"(4, 2)",-0.20778403099358922,0.263437229545277
50,"(4, 3)",0.5040464269788514,0.16881188546909892
51,"(4, 4)",0.5211712039573595,0.16587183111920084
52,"(4, 5)",-0.8708397157438255,0.3278693346036615
53,"(4, 6)",0.4303256280795541,0.18092386213426295
54,"(4, 7)",0.41739086438761874,0.18296632033720908
55,"(4, 8)",0.555005946978772,0.1599041047892742
56,"(4, 9)",0.4886865599938208,0.17140603666508106
57,"(4, 10)",0.5575821247750343,0.15944057124251845
58,"(4, 11)",0.48604667692374914,0.17184794696327416
59,"(4, 12)",0.3036974395065859,0.20002372230938423
60,"(4, 13)",0.44848014420375026,0.17801765879753173
61,"(4, 14)",0.21385164916368815,0.21253710598457115
62,"(4, 15)",0.43316540367875034,0.1804723541447995
