,position,r2,rmse
0,"(1, 1, 1)",-0.17951978611369968,0.2603365373093135
1,"(1, 1, 2)",-0.5410892829338494,0.29757497719659654
2,"(1, 1, 3)",-0.031192536966141216,0.2434178316692732
3,"(1, 1, 4)",-0.36221066759260934,0.27977225757694624
4,"(1, 1, 5)",-0.22676129224884622,0.26549878686314554
5,"(1, 1, 6)",-0.0718649355123453,0.24817186291968332
6,"(1, 1, 7)",-0.24688358917543818,0.2676673894954175
7,"(1, 1, 8)",-0.22485930428043588,0.26529289049863225
8,"(1, 1, 9)",-0.2596922271099653,0.26903868627301464
9,"(1, 1, 10)",-0.37384382533548877,0.28096433301050194
10,"(1, 1, 11)",-0.2371251709754012,0.26661791663217865
11,"(1, 1, 12)",-0.009984464720164565,0.24090169496703479
12,"(1, 1, 13)",-0.04292271437733608,0.24479839834299277
13,"(1, 1, 14)",-0.49933970309174325,0.2935165064045143
14,"(1, 1, 15)",-0.18235467247438675,0.26064919912012274
15,"(1, 1, 16)",-0.11921159055624231,0.25359378651796494
16,"(1, 2, 1)",-0.4412228893550594,0.2877717012816614
17,"(1, 2, 2)",-0.628028183268835,0.30585350957570584
18,"(1, 2, 3)",-0.09185284032047147,0.25047510247153804
19,"(1, 2, 4)",0.44955904541169067,0.1778434515706382
20,"(1, 2, 5)",-0.2837729030902558,0.27159802729239857
21,"(1, 2, 6)",-0.06336778618822558,0.24718622134707244
22,"(1, 2, 7)",-0.17997675255963097,0.260386961873424
23,"(1, 2, 8)",0.4296819885824127,0.18102604056779298
24,"(1, 2, 9)",-0.19628809674153902,0.2621805073741635
25,"(1, 2, 10)",-0.09819492491266124,0.2512014980688167
26,"(1, 2, 11)",-0.000523118669223166,0.23977067887865475
27,"(1, 2, 12)",-0.22595006910087045,0.26541098886169295
28,"(1, 2, 13)",-0.4037334578750613,0.2840042470129085
29,"(1, 2, 14)",-0.1484202454497554,0.25688155935513235
30,"(1, 2, 15)",-0.09181439344028641,0.2504706925040617
31,"(1, 2, 16)",-0.035310450648856184,0.24390337383014876
