,position,r2,rmse
0,"(1, 1, 1)",-0.01148606937542307,0.24108070997384404
1,"(1, 1, 2)",0.37774336974176337,0.1890894398214153
2,"(1, 1, 3)",0.3717661369082804,0.18999544092679121
3,"(1, 1, 4)",0.546584667643947,0.1614100640174554
4,"(1, 1, 5)",0.5530174623979915,0.16026097745108445
5,"(1, 1, 6)",-0.29527009220669664,0.27281150268463256
6,"(1, 1, 7)",0.5205314359025106,0.16598260565537085
7,"(1, 1, 8)",-0.08203233710938251,0.24934612815992405
8,"(1, 1, 9)",-0.3590229484468601,0.279444717291824
9,"(1, 1, 10)",0.4234644429877191,0.18201012893984198
10,"(1, 1, 11)",-0.17070418634835027,0.2593618495463717
11,"(1, 1, 12)",-0.43441029708398604,0.28709075403262246
12,"(1, 1, 13)",0.00050642540147805,0.23964728442003314
13,"(1, 1, 14)",-0.03663869304837308,0.24405978052081762
14,"(1, 1, 15)",-0.039981016247150114,0.2444529118087906
15,"(1, 1, 16)",-0.06268856495179631,0.24710726421105714
16,"(1, 2, 1)",-0.09027695536703662,0.250294280267503
17,"(1, 2, 2)",0.09640655133460807,0.22786049977315098
18,"(1, 2, 3)",0.45171188349243485,0.17749532772009863
19,"(1, 2, 4)",-0.29373798965793596,0.27265010821017693
20,"(1, 2, 5)",0.560661943582141,0.1588846424786969
21,"(1, 2, 6)",-0.06059573503377158,0.2468638211363003
22,"(1, 2, 7)",0.4587924808240905,0.17634551541101798
23,"(1, 2, 8)",-0.210021503565053,0.2636811311141879
24,"(1, 2, 9)",-0.062408396775084585,0.2470746882722444
25,"(1, 2, 10)",-0.455161397603959,0.28915991705065064
26,"(1, 2, 11)",-0.07427095162272557,0.24845024258082546
27,"(1, 2, 12)",-0.2738601528763016,0.2705474128390934
28,"(1, 2, 13)",0.5557668557514605,0.1597673338676666
29,"(1, 2, 14)",-0.450084042748635,0.28865500727419996
30,"(1, 2, 15)",-0.03704062988624934,0.24410709069270492
31,"(1, 2, 16)",-0.22455491565038144,0.2652599246074671
32,"(1, 3, 1)",-0.09966205669299977,0.2513692381873364
33,"(1, 3, 2)",-0.141867433905557,0.2561476361573736
34,"(1, 3, 3)",0.5113591722165833,0.16756271338997722
35,"(1, 3, 4)",-0.04457256027145995,0.24499195057090487
36,"(1, 3, 5)",-0.3921123283478658,0.2828262066134362
37,"(1, 3, 6)",-0.15378179876842646,0.2574805040425189
38,"(1, 3, 7)",-0.45541244191222097,0.28918485889588286
39,"(1, 3, 8)",-0.0022507024220885796,0.2399775932755485
40,"(1, 3, 9)",-0.49776015753887926,0.2933618567071399
41,"(1, 3, 10)",-0.16861149585579227,0.2591299349199798
42,"(1, 3, 11)",0.5958704456631387,0.15238520892598154
43,"(1, 3, 12)",0.43839945311224304,0.17963719700650707
44,"(1, 3, 13)",0.469878938762302,0.17452997971217885
45,"(1, 3, 14)",-0.09590511175245386,0.25093947507477643
46,"(1, 3, 15)",-0.18423149097139602,0.26085598870416715
47,"(1, 3, 16)",-0.10285816055426733,0.2517342681864335
48,"(1, 4, 1)",-0.28889455435609457,0.2721392623301566
49,"(1, 4, 2)",-0.23932683002332977,0.2668550554556712
50,"(1, 4, 3)",-0.1893856194467094,0.2614230338994044
51,"(1, 4, 4)",-0.17393928271665993,0.2597199595312824
52,"(1, 4, 5)",0.5282642741832915,0.16463868655465094
53,"(1, 4, 6)",0.4848035721963848,0.17205564673614718
54,"(1, 4, 7)",0.579575971124712,0.15542693172146982
55,"(1, 4, 8)",-0.3504539425053783,0.27856233705516165
56,"(1, 4, 9)",0.5435580784227667,0.16194788155737758
57,"(1, 4, 10)",-0.01791303579374337,0.2418454086773817
